#OTU ID	GW1941	GW1942	GW1944	GW1945	GW1946	GW1947	GW1948	GW1952	GW1953	GW1954	GW1955	GW1957	GW1958	GW1959	GW1964	GW1967	GW1968	GW1969	GW1973	GW1979	GW1982
OTU_1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0
OTU_1187	0	1	0	1	0	0	0	0	0	0	0	0	0	0	7	0	7	0	1	0	0
OTU_1188	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	3	4	0
OTU_1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	2	0
OTU_119	0	0	2	0	0	1	2	0	0	0	0	0	0	0	49	5	6	17	26	5	0
OTU_1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	0
OTU_1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU_1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	1	0	0
OTU_1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0
OTU_1196	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0
OTU_1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_12	0	0	0	0	0	0	0	1737	588	1341	713	943	689	1115	0	2	0	0	0	4	0
OTU_120	0	0	0	0	5	0	0	0	0	0	0	0	0	0	24	5	0	1	4	2	25
OTU_1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1203	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	1	0
OTU_1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0
OTU_1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1208	2	1	0	0	0	0	2	0	0	0	0	0	1	0	4	0	2	0	0	0	0
OTU_1209	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_121	0	4	0	0	0	1	1	0	0	0	0	0	0	0	19	7	11	5	0	9	0
OTU_1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
OTU_1211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	1	0	3	0
OTU_1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	2	0	0
OTU_1215	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0
OTU_1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0
OTU_1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
OTU_1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	3	0
OTU_122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	61	59	27	10	5	0
OTU_1220	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
OTU_1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0
OTU_1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
OTU_1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
OTU_1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
OTU_1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3	0	0	0
OTU_1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
OTU_1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
OTU_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	55	0	0	2	2	0
OTU_1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	3	1	0	0
OTU_1231	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	6	2	0	6	3	0
OTU_1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	3	7	5	0	0
OTU_1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	3	3	0
OTU_1237	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU_1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0
OTU_1240	0	1	0	0	0	1	1	0	0	0	0	0	0	0	8	4	3	5	4	2	0
OTU_1241	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	2	0
OTU_1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
